id,timestamp,origin_city,origin_lat,origin_lng,destination_city,destination_lat,destination_lng,distance_km,weight_kg,package_volume_liters,vehicle_type,fuel_type,delivery_method,hour_of_day,day_of_week,month,is_rush_hour,is_weekend,temperature_celsius,precipitation_mm,wind_speed_kmh,avg_traffic_density,actual_co2_emissions_kg,is_fragile,customer_id,route
DEL000001,2024-08-13 18:38:40,Edinburgh,55.85736,-3.130443,Bristol,51.42312,-2.599441,562.3,11.64,21.82,diesel_van,diesel,express,18,1,8,True,False,24.2,0.8,3.1,0.9,445.22,True,acc7ff5d-29c1-489d-a694-e8615dc75d78,Edinburgh → Bristol
DEL000002,2024-12-07 20:53:55,Leeds,53.887553,-1.593189,Glasgow,55.895128,-4.273136,309.98,11.97,9.62,electric_van,electric,same_day,20,5,12,False,True,0.2,1.0,27.4,0.3,38.16,True,537ef19c-c51a-4b6d-b98a-888730ef0161,Leeds → Glasgow
DEL000003,2024-06-13 19:58:32,Glasgow,55.779565,-4.276783,Liverpool,53.310879,-3.074164,320.75,3.27,1.68,diesel_truck,diesel,standard,19,3,6,True,False,15.5,1.2,21.6,1.0,449.13,False,c61546e9-8068-4048-aaec-4538996a6100,Glasgow → Liverpool
DEL000004,2024-08-12 03:57:49,Birmingham,52.496055,-1.908278,Manchester,53.405209,-2.296445,117.66,1.29,1.22,cargo_bike,human,express,3,0,8,False,False,18.4,0.4,19.1,0.6,0.0,True,9a5c5c88-f1e3-467b-be19-43c42364f45c,Birmingham → Manchester
DEL000005,2024-01-27 19:35:32,Leeds,53.731366,-1.454156,Nottingham,52.886523,-1.222007,107.8,4.12,4.71,diesel_van,diesel,same_day,19,5,1,True,True,3.7,4.0,29.4,0.7,85.72,True,ad648990-f39b-4211-bb98-ea3224e152ce,Leeds → Nottingham
DEL000006,2024-07-14 02:03:49,Birmingham,52.509756,-1.951888,Bristol,51.411643,-2.605676,151.39,0.81,0.93,diesel_van,diesel,clickCollect,2,6,7,False,True,17.5,0.5,29.1,0.3,39.95,False,f5c0be67-fab4-40b9-baef-b188313680ee,Birmingham → Bristol
DEL000007,2024-11-08 00:49:42,Nottingham,53.013758,-1.238747,Newcastle,54.933085,-1.699836,245.4,12.87,23.13,diesel_truck,diesel,standard,0,4,11,False,False,12.9,1.5,15.5,0.5,277.35,False,37bf5b7f-f9e4-43c9-b545-fabd7c33d1ab,Nottingham → Newcastle
DEL000008,2024-06-26 01:22:03,London,51.594201,-0.035672,Edinburgh,55.859948,-3.269516,575.03,12.54,16.5,diesel_truck,diesel,standard,1,2,6,False,False,17.6,1.4,17.3,0.6,683.12,False,85f75669-4574-4fa5-93cd-c5fe3d3f7178,London → Edinburgh
DEL000009,2024-10-07 03:12:56,Nottingham,53.0122,-1.188964,Leeds,53.756342,-1.5814,101.28,1.32,1.86,diesel_truck,diesel,standard,3,0,10,False,False,12.8,3.2,0.4,0.6,95.55,False,d08e6c09-2808-4124-a666-cb8ed6602825,Nottingham → Leeds
DEL000010,2024-04-13 22:38:29,Liverpool,53.405451,-2.99169,London,51.542534,-0.084814,317.26,2.66,5.07,diesel_truck,diesel,standard,22,5,4,False,True,12.2,1.5,15.0,0.3,288.37,False,3cb19532-1156-4c70-862f-4d20d8873baa,Liverpool → London
DEL000011,2024-04-18 22:43:24,Leeds,53.889536,-1.576134,Newcastle,54.946918,-1.658003,134.99,3.36,4.63,electric_van,electric,clickCollect,22,3,4,False,False,14.4,2.0,1.8,0.6,8.35,False,3c2cdb19-f285-409a-aa71-aa61c5a9e508,Leeds → Newcastle
DEL000012,2024-04-18 15:11:42,Nottingham,52.910031,-1.133317,London,51.41646,-0.093068,198.69,0.54,0.93,diesel_truck,diesel,express,15,3,4,False,False,13.5,1.0,11.7,0.6,306.16,True,2851d2ed-4c47-47f6-948f-27026560772d,Nottingham → London
DEL000013,2024-07-14 07:10:13,Liverpool,53.358965,-2.946682,Newcastle,55.061428,-1.560902,234.15,1.87,3.65,electric_van,electric,clickCollect,7,6,7,True,True,19.2,2.0,24.3,0.7,17.6,True,26b893af-d756-403c-8449-3f3d17d1ae74,Liverpool → Newcastle
DEL000014,2024-01-09 09:07:07,Leeds,53.822672,-1.645368,Nottingham,53.00921,-1.089836,108.92,3.4,2.58,diesel_van,diesel,standard,9,1,1,True,False,0.7,2.4,5.0,1.0,56.21,True,a6342b0d-f591-46c9-b427-f36436748bdd,Leeds → Nottingham
DEL000015,2024-04-15 13:32:59,Manchester,53.530647,-2.185033,Glasgow,55.772978,-4.256163,311.44,2.45,3.59,diesel_van,diesel,express,13,0,4,False,False,9.4,2.8,2.0,0.6,163.14,True,bed8d876-2bc9-42a0-8cf0-1f9c4c947fcd,Manchester → Glasgow
DEL000016,2024-04-05 00:26:00,London,51.480224,-0.131051,Leeds,53.73559,-1.610216,304.51,4.65,7.62,diesel_van,diesel,standard,0,4,4,False,False,8.4,3.0,1.8,0.6,94.11,False,b1101bf4-cbf7-46d3-a830-6e2a2dee1f20,London → Leeds
DEL000017,2024-11-18 19:33:02,Edinburgh,56.049248,-3.188882,London,51.438454,-0.132709,632.93,0.96,1.09,diesel_van,diesel,clickCollect,19,0,11,True,False,14.9,3.6,9.0,1.0,259.58,False,35ec2ead-569d-4206-b056-513b27bfca59,Edinburgh → London
DEL000018,2024-08-25 11:22:13,Newcastle,54.912418,-1.67584,Liverpool,53.475749,-2.95153,208.53,2.99,5.11,diesel_truck,diesel,express,11,6,8,False,True,16.7,0.2,19.2,0.3,315.88,False,74519905-e3ab-4154-9fbe-8940defdffc9,Newcastle → Liverpool
DEL000019,2024-03-23 09:41:28,Glasgow,55.925981,-4.282337,Manchester,53.464195,-2.155648,341.22,16.47,18.96,electric_van,electric,clickCollect,9,5,3,True,True,12.2,1.8,10.9,0.7,33.36,True,6332a5e3-5bba-446e-a8d7-fe0813750647,Glasgow → Manchester
DEL000020,2024-03-10 16:19:47,Edinburgh,55.988871,-3.094753,Liverpool,53.390156,-3.075901,329.21,6.04,10.88,cargo_bike,human,standard,16,6,3,True,True,13.3,1.1,29.9,0.7,0.0,False,a89bd180-14c3-4d8f-b830-4625533f3d60,Edinburgh → Liverpool
DEL000021,2024-04-17 22:01:50,Newcastle,54.993847,-1.635877,Leeds,53.811143,-1.51175,146.03,1.96,3.22,diesel_van,diesel,standard,22,2,4,False,False,12.4,1.3,13.5,0.6,45.57,True,b7d112c3-6697-4efd-b20d-753e9f220d69,Newcastle → Leeds
DEL000022,2024-06-12 21:36:38,Edinburgh,56.015028,-3.100788,Leeds,53.74493,-1.507967,311.02,1.98,3.47,diesel_van,diesel,express,21,2,6,False,False,15.6,0.6,26.9,0.6,156.84,True,c2a5cfd8-5057-4940-bf61-c1070cadaff4,Edinburgh → Leeds
DEL000023,2024-09-17 14:20:02,Birmingham,52.510332,-1.967993,London,51.418238,-0.113348,201.69,25.35,31.09,electric_van,electric,standard,14,1,9,False,False,12.6,0.7,28.9,0.6,17.27,False,9752a1e9-0730-4614-b4a9-b6d42b38d19c,Birmingham → London
DEL000024,2024-02-21 05:52:56,Manchester,53.423372,-2.231742,Nottingham,52.865496,-1.199114,106.96,1.62,2.44,diesel_van,diesel,standard,5,2,2,False,False,3.7,3.3,2.2,0.6,36.81,True,642a56e5-8f71-4a12-b716-d8f1773217f9,Manchester → Nottingham
DEL000025,2024-06-10 20:37:02,Edinburgh,55.923957,-3.193031,London,51.4478,-0.119961,616.26,0.93,1.3,diesel_van,diesel,standard,20,0,6,False,False,19.8,0.5,24.1,0.6,187.87,True,81587077-e395-4a0f-ae48-fc64d785a278,Edinburgh → London
DEL000026,2024-05-19 00:01:32,Nottingham,52.973512,-1.146606,Edinburgh,55.967276,-3.096453,404.27,2.51,3.1,diesel_van,diesel,standard,0,6,5,False,True,8.8,0.8,12.5,0.2,111.2,True,889270bc-b9bc-497e-9583-06eac431d7d9,Nottingham → Edinburgh
DEL000027,2024-04-04 06:02:04,Liverpool,53.478059,-3.056515,Birmingham,52.483744,-1.87811,152.37,2.95,3.27,diesel_van,diesel,standard,6,3,4,False,False,13.7,1.5,18.0,0.6,45.7,True,83208451-987f-4fbe-a412-17060b0f4ae5,Liverpool → Birmingham
DEL000028,2024-04-13 05:05:34,Edinburgh,55.865135,-3.22864,Glasgow,55.88553,-4.290262,74.48,24.35,45.22,diesel_van,diesel,same_day,5,5,4,False,True,9.7,1.2,19.5,0.3,47.9,False,df929077-9e70-4730-860e-e74d23af05e3,Edinburgh → Glasgow
DEL000029,2024-05-30 10:21:18,Bristol,51.411998,-2.575209,Edinburgh,55.872077,-3.159204,564.37,5.2,6.77,electric_van,electric,express,10,3,5,False,False,8.1,1.2,28.7,0.5,56.85,True,e2406742-6d16-4e3e-8e2e-e76b3c23ff4c,Bristol → Edinburgh
DEL000030,2024-08-22 19:09:06,Edinburgh,55.958229,-3.093382,Liverpool,53.331702,-3.06331,332.3,4.62,7.81,diesel_van,diesel,express,19,3,8,True,False,16.5,0.7,11.5,1.0,255.87,False,85053f35-5540-4639-bd1b-2b7a261ab480,Edinburgh → Liverpool
DEL000031,2024-04-09 19:39:15,Glasgow,55.839952,-4.191743,Liverpool,53.447391,-3.042729,305.75,4.58,9.14,diesel_van,diesel,standard,19,1,4,True,False,11.3,1.0,29.1,1.0,135.09,False,b53d0400-f33c-4a8d-b24b-d6bc83fa744f,Glasgow → Liverpool
DEL000032,2024-06-18 10:56:47,Newcastle,55.016857,-1.523097,Edinburgh,55.923836,-3.219754,162.31,14.92,25.92,diesel_truck,diesel,same_day,10,1,6,False,False,16.7,1.1,6.5,0.5,324.78,False,2987bf75-136a-414f-991d-ea3f7d23a425,Newcastle → Edinburgh
DEL000033,2024-12-02 17:16:57,Nottingham,52.985101,-1.068627,Liverpool,53.420643,-2.906142,152.63,0.81,0.7,cargo_bike,human,clickCollect,17,0,12,True,False,0.0,4.9,6.8,1.0,0.0,False,371d24db-0a0e-4e1c-a43f-3d6c2c41ce22,Nottingham → Liverpool
DEL000034,2024-12-05 20:22:22,Glasgow,55.798337,-4.166534,London,51.576404,-0.208153,596.69,1.09,0.99,cargo_bike,human,express,20,3,12,False,False,5.7,3.7,19.3,0.6,0.0,True,259956c7-7158-45b7-8a60-2784b8c80c5f,Glasgow → London
DEL000035,2024-07-01 00:09:40,Birmingham,52.493065,-1.855891,Newcastle,54.989272,-1.618664,315.43,1.74,1.26,diesel_van,diesel,standard,0,0,7,False,False,18.3,0.1,22.3,0.6,98.23,True,adcfdb74-4743-4f32-a8e0-394fc8bbb2d6,Birmingham → Newcastle
DEL000036,2024-10-27 12:17:43,Leeds,53.831642,-1.517394,Glasgow,55.79881,-4.271058,317.21,3.38,2.87,diesel_van,diesel,standard,12,6,10,False,True,11.9,3.0,4.1,0.3,88.2,True,0dbb954f-09e7-4fc6-8f2c-6992dc3da436,Leeds → Glasgow
DEL000037,2024-01-03 10:56:08,Nottingham,52.94083,-1.152623,Leeds,53.803952,-1.636202,118.69,9.32,17.65,diesel_van,diesel,standard,10,2,1,False,False,4.7,1.6,7.7,0.6,47.8,False,4b0f4200-fec7-479e-b6f8-c1ac5b824718,Nottingham → Leeds
DEL000038,2024-02-01 10:31:23,Birmingham,52.563599,-1.847941,Liverpool,53.313248,-3.024683,133.95,4.93,8.17,diesel_truck,diesel,standard,10,3,2,False,False,1.9,4.0,8.8,0.6,161.46,True,1d94a6d0-80b4-4caa-9e95-996a446c99b1,Birmingham → Liverpool
DEL000039,2024-04-04 23:39:07,Glasgow,55.800407,-4.17612,Liverpool,53.43345,-3.038918,306.07,0.59,0.85,diesel_truck,diesel,same_day,23,3,4,False,False,9.2,1.3,16.9,0.6,510.26,False,cb414517-591f-4c19-914a-e69bc74b6704,Glasgow → Liverpool
DEL000040,2024-08-18 02:42:57,Bristol,51.367194,-2.577792,Birmingham,52.388269,-1.828394,141.69,3.37,4.22,diesel_truck,diesel,standard,2,6,8,False,True,20.0,1.0,24.3,0.3,126.89,True,fd83f4d6-3fb7-4c76-b920-4e2ea849cb08,Bristol → Birmingham
DEL000041,2024-04-09 23:00:17,Newcastle,55.040906,-1.667601,London,51.59355,-0.039375,452.92,5.49,7.72,diesel_van,diesel,express,23,1,4,False,False,12.6,1.9,17.1,0.6,237.44,True,cfe54d4f-998c-42ba-b6f3-3ea34eb4b902,Newcastle → London
DEL000042,2024-03-10 09:43:28,London,51.555235,-0.097965,Leeds,53.750955,-1.516855,291.07,1.28,1.07,electric_van,electric,same_day,9,6,3,True,True,11.2,1.1,23.3,0.7,34.21,False,2617a4eb-d11d-46f7-8aa5-e023235861da,London → Leeds
DEL000043,2024-01-26 08:07:05,Edinburgh,56.013761,-3.152822,London,51.533683,-0.143043,605.31,7.69,10.09,diesel_van,diesel,clickCollect,8,4,1,True,False,6.4,1.8,19.8,1.0,276.05,False,6b43ee57-6352-44a6-94c5-880bed99c989,Edinburgh → London
DEL000044,2024-08-10 01:26:34,Edinburgh,55.994208,-3.229928,Leeds,53.736055,-1.517806,304.6,0.8,0.66,diesel_truck,diesel,standard,1,5,8,False,True,22.2,0.5,2.8,0.3,271.6,True,35870daa-9b60-40ea-b050-59a9644555f9,Edinburgh → Leeds
DEL000045,2024-07-17 20:09:33,Newcastle,54.933044,-1.555258,Liverpool,53.319835,-3.085652,232.84,3.38,4.43,electric_van,electric,standard,20,2,7,False,False,24.8,1.3,11.8,0.6,14.03,False,7303e8ba-60ac-47ea-a793-d9c961a81060,Newcastle → Liverpool
DEL000046,2024-03-28 20:39:34,Newcastle,55.060001,-1.712855,Leeds,53.703827,-1.563247,171.76,9.73,11.9,motorcycle,petrol,standard,20,3,3,False,False,12.5,0.6,2.5,0.6,25.06,False,19a74969-1436-4d8d-b788-7a7eff4b9885,Newcastle → Leeds
DEL000047,2024-08-06 09:41:35,London,51.592184,-0.068303,Leeds,53.756787,-1.455477,296.28,9.22,13.26,diesel_van,diesel,standard,9,1,8,True,False,16.1,1.7,24.6,1.0,141.57,False,2793e8fc-c54e-4295-998b-c4f216a96c06,London → Leeds
DEL000048,2024-05-31 16:27:22,Edinburgh,56.044372,-3.223373,Glasgow,55.807,-4.23826,78.09,5.3,7.43,diesel_van,diesel,standard,16,4,5,True,False,13.5,1.1,16.9,1.0,35.86,False,900e4105-08fd-46ca-8248-5dba06306291,Edinburgh → Glasgow
